word,token
puta lesbiana,b26v89c19zqg8o3foserx8ia6oz2ifl7w9lgjo3spr7nh
bajina,b26v89c19zqg8o3fosesc1ddf13nzsi1u9m3idffkce4d
feminazi,b26v89c19zqg8o3foset68d02nu60tgwopovnj3zxmlj1
perra,b26v89c19zqg8o3foset6afbwjy1rtesouyom6o86oayl
estas rica,b26v89c19zqg8o3foset68czy2wl14lzv7bnkd9nfo7zx
zorra,0
piruja,b26v89c19zqg8o3foset68bsqw29311abv3jpblsb38fx
cerda,b26v89c19zqg8o3foset6afxedghg6mcbfrxb9j6h7ddp
marrana,b26v89c19zqg8o3foset6afbqi3i6yzh895bczruo21rx
estupida,b26v89c19zqg8o3foset6ag7z7acgrbbizkog3tfyeyyl
mamona,b26v89c19zqg8o3foset6afxedvmycrw0hiijcz630e4d
vete a la verga,b26v89c19zqg8o3foset6afx9sy0v6eirtbjtixgn5jel
obesa,b26v89c19zqg8o3foset6afmed6eg149rmax3wvvues8t
puta,0
lesbiana,b26v89c19zqg8o3foset6ag83r5isknyhs2527lztkbjx
inutil,0
chingada,b26v89c19zqg8o3foset6ag83s09zwz3m877j4swwm8hp
maldita,b26v89c19zqg8o3foset6ag8bcp2coat2l7wxajcp2zct
toxica,0
chaira,b26v89c19zqg8o3foset6afboyu765g4cra52dn5blnjx
castrosa,b26v89c19zqg8o3foset6afxeeistq2reg4dr5q5p7kvx
malparida,b26v89c19zqg8o3foset6afxedvo0xsokuq625m31jq7x
retrasada ,0
asquerosa,b26v89c19zqg8o3foset6ag859ct842vozb3ubexhrrlp
marica,b26v89c19zqg8o3foset6ag7xp3anup4yasbu68y0pv25
vieja puta,b26v89c19zqg8o3foset6afmix9dmnv7y2sorznukle9p
zorra de mierda,b26v89c19zqg8o3fosesrjsv34385z3ujgji3kbo6ekjh
concha de tu madre,b26v89c19zqg8o3foset6ag86sm8ksbrqwx7mu7v5mu7x
gorda feminazi,b26v89c19zqg8o3fosesr92jhrcn2pymilafs9ckwefzx
cállate zorra,b26v89c19zqg8o3fosesrjr2h4ckjkkrhdykef5tvxu2l
chupame la verga,b26v89c19zqg8o3foset6af12mlc4hl3fh5u0xy53owot
hazme un sanwich,0
vete a la cocina,b26v89c19zqg8o3fosesrhmn47jq9kr3ngicfpbt1mjr1
pinche estupida,b26v89c19zqg8o3foset6agj3spmu363s5qjir1gcdh19
callate puta,b26v89c19zqg8o3foset6ag89tfjrnjgguzxy5c770fp9
maldita obesa,0
